Đường Trần Kế Xương,16.0665158,108.2171513
Đường Tăng Bạt Hổ,16.0658548,108.2168476
Đường Tô Ngọc Vân,16.0646067,108.2125506
Đường Tôn Thất Đạm,16.0729896,108.2018968
Đường Tản Đà,16.062614,108.2092522
Đường Đào Duy Từ,16.0675905,108.2124016
Kiệt 246 Trần Cao Vân,16.0722819,108.2017632
Kiệt 236,16.0742794,108.2047894
Kiệt 196 Trần Cao Vân,16.0743267,108.2059266
Kiệt 02 Hà Khê,16.0744037,108.1820714
Kiệt 242 Hoàng Diệu,16.0600163,108.21704
Đường Trần Tống,16.0587148,108.2114177
Đường Bàu Hạc 5,16.0637174,108.2130991
Kiệt 356 Hoàng Diệu,16.0553559,108.2129905
Đường Bàu Hạc 4,16.0637195,108.2142376
Kiệt 266 Hoàng Diệu,16.0581518,108.2140548
Kiệt 308 Hoàng Diệu,16.0582546,108.2170815
Đường Bàu Hạc 2,16.0636977,108.2137019
Kiệt 254 Hoàng Diệu,16.0595723,108.2170628
Đường Tôn Thất Tùng,16.05797,108.2118309
Đường Hải Phòng,16.0677598,108.2032058
Đường Võ Văn Tần,16.067326,108.2034078
Đường Nguyễn Đức Trung,16.0712464,108.1871687
Đường Thái Thị Bôi,16.0677823,108.1931281
Đường Kỳ Đồng,16.0686607,108.1871966
Đường Tuệ Tĩnh,16.0551054,108.2194455
Đường Phạm Hồng Thái,16.0674857,108.2198784
Đường Phạm Phú Thứ,16.0673319,108.2248271
Đường Chu Văn An,16.056994,108.2181142
Đường Trần Quốc Toản,16.0663599,108.2208736
Đường Huỳnh Thúc Kháng,16.0595612,108.2185735
Kiệt 23 Tôn Thất Tùng,16.0572895,108.2121921
Đường Đào Duy Anh,16.0588976,108.2095326
Kiệt 25 Tôn Thất Tùng,16.0572058,108.2119417
Đường Nguyễn Thiện Thuật,16.0564522,108.2216273
Đường Phan Thành Tài,16.0534366,108.2212855
Kiệt 21 Lê Hồng Phong,16.0628034,108.2215531
Đường Hoàng Văn Thụ,16.0628034,108.2215531
Đường Nguyễn Gia Thiều,16.0578584,108.2108889
Đường Cô Giang,16.0611825,108.2215254
Kiệt 360 Nguyễn Hoàng,16.0560911,108.212467
Đường Đỗ Anh Hàn,16.084623,108.2325981
Đường Cao Bá Quát,16.062681,108.2312221
Đường Ngô Quyền,16.0542962,108.236634
Đường Đông Giang,16.0614405,108.2329761
Đường Trần Đình Đàn,16.0792317,108.2432334
Đường Nguyễn Hữu Thông,16.0709969,108.2430687
Đường Nguyễn Duy Hiệu,16.0572491,108.2429078
Kiệt 230 Nguyễn Công Trứ,16.0647803,108.2365245
Đường Lê Hữu Trác,16.0596647,108.2376988
Đường Bắc Đẩu,16.0771234,108.2104719
Kiệt 34 Đường Lê Lai,16.075354,108.2187011
Đường Lê Văn Quý,16.0700087,108.237835
Đường Lê Minh Trung,16.0756276,108.239716
Đường Lương Thế Vinh,16.0636883,108.2361802
Đường Morrison,16.0718102,108.2371826
Đường Dương Trí Trạch,16.0744881,108.240229
Đường Hàn Mặc Tử,16.0850047,108.2188927
Đường Phan Bôi,16.0655957,108.2337146
Đường Nguyễn Văn Thoại,16.0507796,108.2427294
Đường Phạm Văn Đồng,16.0724701,108.2326164
Đường Thích Phước Huệ,15.9825438,108.2500631
Đường Võ Nghĩa,16.0736852,108.2442364
Đường Dương Đình Nghệ,16.0717621,108.232754
Đường Lương Ngoc Quyến,16.0820837,108.2168347
Đường Hồ Nghinh,16.0652756,108.2432593
Đường Phạm Thiều,16.0722147,108.2436805
Đường Lê Mạnh Trinh,16.0755329,108.2435618
Đường Vương Thừa Vũ,16.0836292,108.2382292
Đường Châu Văn Liêm,16.0830138,108.2219535
Đường Nguyễn Công Sáu,16.0729586,108.24067
Đường Phạm Tu,16.067252,108.2404802
Kiệt 16,16.0709978,108.2148672
Đường Dương Tự Minh,16.0672425,108.2412945
Đường Nguyễn Bỉnh Khiêm,16.0648759,108.2322479
Đường An Mỹ 5,16.0654544,108.2320391
Đường Ba Đình,16.0762239,108.2188946
Đường Triệu Việt Vương,16.0646321,108.2314756
Đường Phan Kế Bính,16.0816359,108.2187425
Đường Lê Thánh Tôn,16.0738828,108.2199648
Đường Lưu Hữu Phước,16.0814265,108.2311954
Đường An Mỹ 8,16.0641146,108.2325071
Đường Lê Khắc Cần,16.0866249,108.2168887
Đường Nguyễn Thông,16.0661877,108.2309991
Đường Thủ Khoa Huân,16.0549726,108.2418391
Đường Lê Lai,16.0752395,108.2178613
Đường An Đồn 2,16.0739205,108.2311151
Đường An Hải 1,16.0815727,108.2339907
Kiệt 57 Lê Hữu Trác,16.0588256,108.2388079
Đường Huy Du,16.0710541,108.233799
Đường An Hải 10,16.0852943,108.2345779
Đường Lê Tân Toán,16.0745081,108.2410474
Đường Số 1,16.0811734,108.2395939
Đường Trần Nhân Tông,16.0858423,108.2357897
Đường An Hải 18,16.0861004,108.2366707
Đường Bà Huyện Thanh Quan,16.0420095,108.2412761
